EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-3490395,Snow,Light,2/22/22 20:50,2/22/22 21:28,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490396,Fog,Moderate,2/22/22 22:03,2/22/22 22:11,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490397,Snow,Light,2/22/22 22:11,2/23/22 9:19,0.09,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490398,Snow,Light,2/23/22 13:02,2/23/22 14:28,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490399,Fog,Moderate,2/23/22 23:53,2/24/22 1:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490400,Snow,Light,2/24/22 2:53,2/24/22 7:53,0.05,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490401,Snow,Moderate,2/24/22 7:53,2/24/22 9:00,0.08,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490402,Snow,Light,2/24/22 9:00,2/24/22 13:53,0.05,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490403,Snow,Moderate,2/24/22 13:53,2/24/22 14:25,0.03,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490404,Snow,Light,3/5/22 12:29,3/5/22 12:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490405,Snow,Light,3/5/22 14:59,3/5/22 15:18,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490406,Fog,Severe,3/5/22 16:11,3/5/22 16:47,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490407,Snow,Light,3/5/22 16:47,3/5/22 18:14,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490408,Snow,Light,3/6/22 4:15,3/6/22 5:35,0.03,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490409,Snow,Heavy,3/6/22 5:35,3/6/22 5:58,0.18,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490410,Snow,Light,3/6/22 5:58,3/6/22 6:15,0.01,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490411,Snow,Moderate,3/6/22 6:15,3/6/22 6:53,0.1,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490412,Snow,Light,3/6/22 7:34,3/6/22 8:00,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490413,Snow,Light,3/6/22 11:40,3/7/22 3:53,0.18,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490414,Fog,Severe,3/9/22 10:02,3/9/22 11:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490415,Snow,Light,3/9/22 12:53,3/10/22 0:40,0.11,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490416,Snow,Moderate,3/10/22 0:40,3/10/22 1:00,0.07,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490417,Snow,Light,3/10/22 1:00,3/10/22 7:42,0.04,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490418,Rain,Light,3/17/22 0:53,3/17/22 2:50,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490419,Rain,Light,3/17/22 3:53,3/17/22 5:53,0.1,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490420,Snow,Moderate,3/17/22 6:25,3/17/22 6:53,0.06,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490421,Snow,Heavy,3/17/22 6:53,3/17/22 9:21,0.39,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490422,Snow,Light,3/17/22 9:21,3/17/22 9:53,0.02,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490423,Snow,Moderate,3/17/22 9:53,3/17/22 10:53,0.03,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490424,Snow,Light,3/17/22 10:53,3/17/22 20:53,0.08,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490425,Fog,Severe,3/17/22 20:53,3/17/22 20:57,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490426,Snow,Light,3/18/22 5:11,3/18/22 6:31,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490427,Snow,Light,3/21/22 13:07,3/21/22 14:05,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490428,Snow,Light,3/21/22 16:06,3/21/22 17:47,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490429,Snow,Light,3/22/22 18:10,3/22/22 18:49,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490430,Snow,Light,3/22/22 20:41,3/22/22 20:56,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490431,Snow,Light,3/22/22 21:06,3/22/22 21:30,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
