,EventId,Type,Severity,StartTime(UTC),Precipitation(in),AirportCode,LocationLat,LocationLng,City,County,State
1352579,W-1426885,Rain,Moderate,2016-04-18 08:13:00,0.43,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352580,W-1426886,Rain,Heavy,2016-04-18 08:26:00,1.24,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352581,W-1426887,Rain,Light,2016-04-18 08:56:00,0.11,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352582,W-1426888,Rain,Heavy,2016-04-18 09:53:00,0.61,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352583,W-1426889,Rain,Light,2016-04-18 11:15:00,0.06,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352584,W-1426890,Rain,Light,2016-04-18 16:46:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352585,W-1426891,Rain,Light,2016-04-20 07:50:00,0.07,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352586,W-1426892,Cold,Severe,2016-04-20 09:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352587,W-1426893,Cold,Severe,2016-04-20 14:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352588,W-1426894,Cold,Severe,2016-04-20 15:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352589,W-1426895,Cold,Severe,2016-04-20 16:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352590,W-1426896,Cold,Severe,2016-04-20 17:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352591,W-1426897,Rain,Light,2016-04-21 09:39:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352592,W-1426898,Rain,Moderate,2016-04-21 09:53:00,0.11,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352593,W-1426899,Rain,Light,2016-04-21 09:56:00,0.07,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352594,W-1426900,Rain,Moderate,2016-04-21 10:15:00,0.27,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352595,W-1426901,Rain,Heavy,2016-04-21 10:39:00,0.95,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352596,W-1426902,Rain,Light,2016-04-21 11:53:00,0.1,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352597,W-1426903,Rain,Light,2016-04-27 01:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352598,W-1426904,Rain,Light,2016-04-27 03:33:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352599,W-1426905,Rain,Light,2016-04-27 04:01:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352600,W-1426906,Rain,Light,2016-04-27 04:24:00,0.16,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352601,W-1426907,Rain,Heavy,2016-04-27 04:53:00,0.43,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352602,W-1426908,Rain,Moderate,2016-04-27 05:02:00,0.16,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352603,W-1426909,Rain,Heavy,2016-04-27 05:27:00,1.26,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352604,W-1426910,Rain,Light,2016-04-27 06:17:00,0.12,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352605,W-1426911,Rain,Light,2016-04-29 06:11:00,0.03,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352606,W-1426912,Fog,Moderate,2016-04-29 10:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352607,W-1426913,Fog,Moderate,2016-04-29 16:48:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352608,W-1426914,Rain,Light,2016-04-29 22:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352609,W-1426915,Rain,Light,2016-04-30 01:10:00,0.07,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352610,W-1426916,Rain,Light,2016-04-30 03:43:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352611,W-1426917,Rain,Light,2016-05-02 10:22:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352612,W-1426918,Rain,Light,2016-05-02 10:53:00,0.09,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352613,W-1426919,Rain,Moderate,2016-05-02 11:46:00,0.24,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352614,W-1426920,Rain,Light,2016-05-02 11:59:00,0.04,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352615,W-1426921,Rain,Moderate,2016-05-02 12:15:00,0.71,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352616,W-1426922,Rain,Light,2016-05-02 13:05:00,0.14,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352617,W-1426923,Rain,Moderate,2016-05-02 13:51:00,0.29,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352618,W-1426924,Rain,Light,2016-05-02 14:00:00,0.19,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352619,W-1426925,Rain,Light,2016-05-02 15:33:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352620,W-1426926,Rain,Light,2016-05-02 20:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352621,W-1426927,Rain,Light,2016-05-08 17:53:00,0.01,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352622,W-1426928,Rain,Light,2016-05-09 03:22:00,0.01,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352623,W-1426929,Rain,Light,2016-05-09 07:11:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352624,W-1426930,Rain,Light,2016-05-09 09:15:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352625,W-1426931,Rain,Light,2016-05-09 09:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352626,W-1426932,Rain,Light,2016-05-09 14:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352627,W-1426933,Fog,Moderate,2016-05-10 10:18:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352628,W-1426934,Fog,Moderate,2016-05-10 12:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352629,W-1426935,Rain,Light,2016-05-11 01:29:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352630,W-1426936,Rain,Light,2016-05-11 01:51:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352631,W-1426937,Rain,Light,2016-05-12 05:04:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352632,W-1426938,Rain,Moderate,2016-05-12 05:20:00,0.18,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352633,W-1426939,Rain,Heavy,2016-05-12 05:32:00,1.9,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352634,W-1426940,Rain,Light,2016-05-12 06:19:00,0.11,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352635,W-1426941,Rain,Moderate,2016-05-12 06:53:00,0.1,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352636,W-1426942,Rain,Light,2016-05-12 07:26:00,0.11,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352637,W-1426943,Rain,Light,2016-05-14 12:00:00,0.02,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352638,W-1426944,Rain,Light,2016-05-16 04:19:00,0.01,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352639,W-1426945,Rain,Light,2016-05-16 06:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352640,W-1426946,Rain,Light,2016-05-16 12:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352641,W-1426947,Rain,Light,2016-05-16 15:26:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352642,W-1426948,Rain,Light,2016-05-17 12:53:00,0.01,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352643,W-1426949,Rain,Light,2016-05-18 03:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352644,W-1426950,Rain,Light,2016-05-18 12:36:00,0.14,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352645,W-1426951,Rain,Light,2016-05-19 02:53:00,0.06,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352646,W-1426952,Rain,Light,2016-05-19 12:06:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352647,W-1426953,Rain,Light,2016-05-19 12:39:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352648,W-1426954,Rain,Moderate,2016-05-19 13:24:00,0.91,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352649,W-1426955,Rain,Heavy,2016-05-19 13:46:00,0.6,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352650,W-1426956,Rain,Light,2016-05-19 13:58:00,0.09,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352651,W-1426957,Rain,Moderate,2016-05-19 14:41:00,0.47,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352652,W-1426958,Rain,Light,2016-05-19 15:00:00,0.15,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352653,W-1426959,Rain,Light,2016-05-23 14:28:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352654,W-1426960,Rain,Light,2016-05-24 15:25:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
