,EventId,Type,Severity,StartTime(UTC),Precipitation(in),AirportCode,LocationLat,LocationLng,City,County,State
3828687,W-4039033,Rain,Light,2016-04-11 23:24:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828688,W-4039034,Rain,Light,2016-04-13 05:53:00,0.02,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828689,W-4039035,Rain,Light,2016-04-13 15:53:00,0.01,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828690,W-4039036,Fog,Moderate,2016-04-15 12:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828691,W-4039037,Fog,Severe,2016-04-15 13:07:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828692,W-4039038,Fog,Moderate,2016-04-15 13:22:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828693,W-4039039,Rain,Light,2016-04-17 13:05:00,0.08,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828694,W-4039040,Rain,Heavy,2016-04-17 13:38:00,0.99,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828695,W-4039041,Rain,Light,2016-04-17 13:57:00,0.01,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828696,W-4039042,Rain,Moderate,2016-04-17 14:15:00,0.23,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828697,W-4039043,Rain,Heavy,2016-04-17 14:34:00,0.69,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828698,W-4039044,Rain,Light,2016-04-17 15:09:00,0.03,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828699,W-4039045,Rain,Moderate,2016-04-17 15:34:00,0.57,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828700,W-4039046,Rain,Light,2016-04-17 17:00:00,0.04,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828701,W-4039047,Rain,Moderate,2016-04-17 17:14:00,0.34,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828702,W-4039048,Rain,Light,2016-04-17 18:34:00,0.13,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828703,W-4039049,Rain,Light,2016-04-18 01:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828704,W-4039050,Rain,Light,2016-04-18 07:34:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828705,W-4039051,Rain,Moderate,2016-04-18 07:53:00,0.49,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828706,W-4039052,Rain,Heavy,2016-04-18 08:53:00,0.32,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828707,W-4039053,Rain,Moderate,2016-04-18 09:53:00,0.5,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828708,W-4039054,Rain,Light,2016-04-20 08:04:00,0.08,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828709,W-4039055,Rain,Moderate,2016-04-20 08:29:00,0.15,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828710,W-4039056,Rain,Heavy,2016-04-20 08:44:00,1.02,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828711,W-4039057,Rain,Moderate,2016-04-20 09:10:00,0.45,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828712,W-4039058,Rain,Heavy,2016-04-20 09:53:00,0.32,KDFW,32.8974,-97.022,Dallas,Dallas,TX
